student,number,model,position,side,treatment,distance,seen
18606919,14,6,6,L,Y,4,0
18606919,14,7,7,L,S,2,0
18606919,14,8,8,L,B,5,0
18606919,14,9,9,L,S,3,0
18606919,14,10,10,L,B,3,0
18606919,14,11,11,L,Y,2,0
18606919,14,12,12,L,B,4,0
18606919,14,13,13,L,B,1,0
18606919,14,14,14,L,Y,3,0
18606919,14,15,15,L,Y,1,0
18606919,14,16,1,R,S,5,0
18606919,14,17,2,R,S,2,0
18606919,14,18,3,R,B,6,0
18606919,14,19,4,R,S,1,0
18606919,14,20,5,R,B,2,0
18606919,14,21,6,R,Y,2,0
18606919,14,22,7,R,B,4,0
18606919,14,23,8,R,Y,4,0
18606919,14,24,9,R,Y,5,0
18606919,14,25,10,R,S,4,0
18606919,14,26,11,R,Y,1,0
18606919,14,27,12,R,Y,3,0
18606919,14,28,13,R,B,5,0
18606919,14,29,14,R,S,3,0
18606919,14,30,15,R,B,1,0
99445687,15,1,1,L,S,4,0
99445687,15,2,2,L,Y,5,0
99445687,15,3,3,L,S,5,0
99445687,15,4,4,L,S,1,0
99445687,15,5,5,L,B,2,0
99445687,15,6,6,L,Y,4,1
99445687,15,7,7,L,S,2,0
99445687,15,8,8,L,B,5,0
99445687,15,9,9,L,S,3,0
99445687,15,10,10,L,B,3,0
99445687,15,11,11,L,Y,2,1
99445687,15,12,12,L,B,4,0
99445687,15,13,13,L,B,1,0
99445687,15,14,14,L,Y,3,0
99445687,15,15,15,L,Y,1,1
99445687,15,16,1,R,S,5,0
99445687,15,17,2,R,S,2,0
99445687,15,18,3,R,B,6,0
99445687,15,19,4,R,S,1,0
99445687,15,20,5,R,B,2,0
99445687,15,21,6,R,Y,2,0
99445687,15,22,7,R,B,4,0
99445687,15,23,8,R,Y,4,0
99445687,15,24,9,R,Y,5,0
99445687,15,25,10,R,S,4,0
99445687,15,26,11,R,Y,1,0
99445687,15,27,12,R,Y,3,0
99445687,15,28,13,R,B,5,0
99445687,15,29,14,R,S,3,0
99445687,15,30,15,R,B,1,0
17972752,16,1,1,L,S,4,0
17972752,16,2,2,L,Y,5,0
17972752,16,3,3,L,S,5,0
17972752,16,4,4,L,S,1,0
17972752,16,5,5,L,B,2,0
17972752,16,6,6,L,Y,4,1
17972752,16,7,7,L,S,2,0
17972752,16,8,8,L,B,5,0
17972752,16,9,9,L,S,3,0
17972752,16,10,10,L,B,3,0
17972752,16,11,11,L,Y,2,0
17972752,16,12,12,L,B,4,0
17972752,16,13,13,L,B,1,0
17972752,16,14,14,L,Y,3,0
17972752,16,15,15,L,Y,1,1
17972752,16,16,1,R,S,5,0
17972752,16,17,2,R,S,2,0
17972752,16,18,3,R,B,6,0
17972752,16,19,4,R,S,1,0
17972752,16,20,5,R,B,2,0
17972752,16,21,6,R,Y,2,0
17972752,16,22,7,R,B,4,0
17972752,16,23,8,R,Y,4,0
17972752,16,24,9,R,Y,5,0
17972752,16,25,10,R,S,4,0
17972752,16,26,11,R,Y,1,0
17972752,16,27,12,R,Y,3,0
17972752,16,28,13,R,B,5,0
17972752,16,29,14,R,S,3,0
17972752,16,30,15,R,B,1,0
18309863,17,1,1,L,S,4,0
18309863,17,2,2,L,Y,5,0
18309863,17,3,3,L,S,5,0
18309863,17,4,4,L,S,1,0
18309863,17,5,5,L,B,2,0
18309863,17,6,6,L,Y,4,0
18309863,17,7,7,L,S,2,0
18309863,17,8,8,L,B,5,0
18309863,17,9,9,L,S,3,0
18309863,17,10,10,L,B,3,0
18309863,17,11,11,L,Y,2,0
18309863,17,12,12,L,B,4,0
18309863,17,13,13,L,B,1,0
18309863,17,14,14,L,Y,3,0
18309863,17,15,15,L,Y,1,1
18309863,17,16,1,R,S,5,0
18309863,17,17,2,R,S,2,0
18309863,17,18,3,R,B,6,0
18309863,17,19,4,R,S,1,0
18309863,17,20,5,R,B,2,0
18309863,17,21,6,R,Y,2,0
18309863,17,22,7,R,B,4,1
18309863,17,23,8,R,Y,4,0
18309863,17,24,9,R,Y,5,0
18309863,17,25,10,R,S,4,0
18309863,17,26,11,R,Y,1,0
18309863,17,27,12,R,Y,3,0
18309863,17,28,13,R,B,5,0
18309863,17,29,14,R,S,3,0
18309863,17,30,15,R,B,1,0
18608579,18,1,1,L,S,4,0
18608579,18,2,2,L,Y,5,0
18608579,18,3,3,L,S,5,0
18608579,18,4,4,L,S,1,0
18608579,18,5,5,L,B,2,0
18608579,18,6,6,L,Y,4,0
18608579,18,7,7,L,S,2,0
18608579,18,8,8,L,B,5,0
18608579,18,9,9,L,S,3,0
18608579,18,10,10,L,B,3,0
18608579,18,11,11,L,Y,2,0
18608579,18,12,12,L,B,4,0
18608579,18,13,13,L,B,1,0
18608579,18,14,14,L,Y,3,0
18608579,18,15,15,L,Y,1,0
18608579,18,16,1,R,S,5,0
18608579,18,17,2,R,S,2,0
18608579,18,18,3,R,B,6,0
18608579,18,19,4,R,S,1,0
18608579,18,20,5,R,B,2,0
18608579,18,21,6,R,Y,2,0
18608579,18,22,7,R,B,4,0
18608579,18,23,8,R,Y,4,0
18608579,18,24,9,R,Y,5,0
18608579,18,25,10,R,S,4,0
18608579,18,26,11,R,Y,1,0
18608579,18,27,12,R,Y,3,0
18608579,18,28,13,R,B,5,0
18608579,18,29,14,R,S,3,0
18608579,18,30,15,R,B,1,0
18610316,19,1,1,L,S,4,0
18610316,19,2,2,L,Y,5,0
18610316,19,3,3,L,S,5,0
18610316,19,4,4,L,S,1,0
18610316,19,5,5,L,B,2,0
18610316,19,6,6,L,Y,4,0
18610316,19,7,7,L,S,2,0
18610316,19,8,8,L,B,5,0
18610316,19,9,9,L,S,3,0
18610316,19,10,10,L,B,3,0
18610316,19,11,11,L,Y,2,0
18610316,19,12,12,L,B,4,0
18610316,19,13,13,L,B,1,0
18610316,19,14,14,L,Y,3,0
18610316,19,15,15,L,Y,1,1
18610316,19,16,1,R,S,5,0
18610316,19,17,2,R,S,2,0
18610316,19,18,3,R,B,6,0
18610316,19,19,4,R,S,1,0
18610316,19,20,5,R,B,2,0
18610316,19,21,6,R,Y,2,0
18610316,19,22,7,R,B,4,0
18610316,19,23,8,R,Y,4,0
18610316,19,24,9,R,Y,5,0
18610316,19,25,10,R,S,4,0
18610316,19,26,11,R,Y,1,0
18610316,19,27,12,R,Y,3,0
18610316,19,28,13,R,B,5,0
18610316,19,29,14,R,S,3,0
18610316,19,30,15,R,B,1,0
18635733,20,1,1,L,S,4,0
18635733,20,2,2,L,Y,5,0
18635733,20,3,3,L,S,5,0
18635733,20,4,4,L,S,1,0
18635733,20,5,5,L,B,2,0
18635733,20,6,6,L,Y,4,0
18635733,20,7,7,L,S,2,0
18635733,20,8,8,L,B,5,0
18635733,20,9,9,L,S,3,0
18635733,20,10,10,L,B,3,0
18635733,20,11,11,L,Y,2,0
18635733,20,12,12,L,B,4,0
18635733,20,13,13,L,B,1,0
18635733,20,14,14,L,Y,3,0
18635733,20,15,15,L,Y,1,0
18635733,20,16,1,R,S,5,0
18635733,20,17,2,R,S,2,0
18635733,20,18,3,R,B,6,0
18635733,20,19,4,R,S,1,0
18635733,20,20,5,R,B,2,1
18635733,20,21,6,R,Y,2,0
18635733,20,22,7,R,B,4,1
18635733,20,23,8,R,Y,4,0
18635733,20,24,9,R,Y,5,0
18635733,20,25,10,R,S,4,0
18635733,20,26,11,R,Y,1,0
18635733,20,27,12,R,Y,3,0
18635733,20,28,13,R,B,5,0
18635733,20,29,14,R,S,3,0
18635733,20,30,15,R,B,1,0
18659997,21,1,1,L,S,4,0
18659997,21,2,2,L,Y,5,0
18659997,21,3,3,L,S,5,0
18659997,21,4,4,L,S,1,0
18659997,21,5,5,L,B,2,0
18659997,21,6,6,L,Y,4,0
18659997,21,7,7,L,S,2,0
18659997,21,8,8,L,B,5,0
18659997,21,9,9,L,S,3,0
18659997,21,10,10,L,B,3,0
18659997,21,11,11,L,Y,2,0
18659997,21,12,12,L,B,4,0
18659997,21,13,13,L,B,1,0
18659997,21,14,14,L,Y,3,1
18659997,21,15,15,L,Y,1,1
18659997,21,16,1,R,S,5,0
18659997,21,17,2,R,S,2,0
18659997,21,18,3,R,B,6,0
18659997,21,19,4,R,S,1,0
18659997,21,20,5,R,B,2,0
18659997,21,21,6,R,Y,2,0
18659997,21,22,7,R,B,4,1
18659997,21,23,8,R,Y,4,0
18659997,21,24,9,R,Y,5,0
18659997,21,25,10,R,S,4,0
18659997,21,26,11,R,Y,1,1
18659997,21,27,12,R,Y,3,0
18659997,21,28,13,R,B,5,1
18659997,21,29,14,R,S,3,0
18659997,21,30,15,R,B,1,0
18041617,22,1,1,L,S,4,0
18041617,22,2,2,L,Y,5,0
18041617,22,3,3,L,S,5,0
18041617,22,4,4,L,S,1,0
18041617,22,5,5,L,B,2,0
18041617,22,6,6,L,Y,4,0
18041617,22,7,7,L,S,2,0
18041617,22,8,8,L,B,5,0
18041617,22,9,9,L,S,3,0
18041617,22,10,10,L,B,3,0
18041617,22,11,11,L,Y,2,1
18041617,22,12,12,L,B,4,0
18041617,22,13,13,L,B,1,0
18041617,22,14,14,L,Y,3,0
18041617,22,15,15,L,Y,1,1
18041617,22,16,1,R,S,5,0
18041617,22,17,2,R,S,2,0
18041617,22,18,3,R,B,6,0
18041617,22,19,4,R,S,1,0
18041617,22,20,5,R,B,2,0
18041617,22,21,6,R,Y,2,0
18041617,22,22,7,R,B,4,0
18041617,22,23,8,R,Y,4,0
18041617,22,24,9,R,Y,5,0
18041617,22,25,10,R,S,4,0
18041617,22,26,11,R,Y,1,1
18041617,22,27,12,R,Y,3,0
18041617,22,28,13,R,B,5,0
18041617,22,29,14,R,S,3,0
18041617,22,30,15,R,B,1,0
18299410,23,1,1,L,S,4,0
18299410,23,2,2,L,Y,5,0
18299410,23,3,3,L,S,5,0
18299410,23,4,4,L,S,1,0
18299410,23,5,5,L,B,2,1
18299410,23,6,6,L,Y,4,0
18299410,23,7,7,L,S,2,0
18299410,23,8,8,L,B,5,0
18299410,23,9,9,L,S,3,0
18299410,23,10,10,L,B,3,0
18299410,23,11,11,L,Y,2,0
18299410,23,12,12,L,B,4,0
18299410,23,13,13,L,B,1,0
18299410,23,14,14,L,Y,3,0
18299410,23,15,15,L,Y,1,0
